Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,SoilSource_TreeID,Phylodist
0,0,0.17088637940660076,SC,SC,SC_1,0
1,0.171,-0.22187667003599038,SC,SC,SC_1,0
0,0,1.611017560696103,SC,SC,SC_1,0
1,0.367,1.611017560696103,SC,SC,SC_2,0
1,0.29200000000000004,1.218254511253512,SC,SC,SC_2,0
1,0.154,-0.22187667003599038,SC,SC,SC_2,0
1,0.206,1.0873334947726474,SC,SC,SC_3,0
1,0.166,-0.4837187029977176,SC,SC,SC_3,0
1,0.154,-0.8764817524403092,SC,SC,SC_3,0
1,0.255,0.9564124782917841,SC,SC,SC_4,0
1,0.389,-1.2692448018829003,SC,SC,SC_4,0
1,0.298,1.7419385771769664,SC,SC,SC_4,0
1,0.125,-1.2692448018829003,SC,SC,SC_5,0
0,0,-0.6146397194785815,SC,SC,SC_5,0
0,0,-0.09095565355512647,SC,SC,SC_5,0
1,0.405,-1.1383237854020365,SC,SC,SC_5,0
1,0.176,-0.6146397194785815,SC,SC,SC_3,0
1,0.107,-0.4837187029977176,SC,SC,SC_3,0
1,0.117,-2.1856919172489473,SC,SC,SC_3,0
1,0.2,-0.8764817524403092,SC,DZ,DZ_1,3.189217863310539
1,0.217,-0.22187667003599038,SC,DZ,DZ_1,3.189217863310539
0,0,2.658385692543013,SC,DZ,DZ_1,3.189217863310539
0,0,1.218254511253512,SC,DZ,DZ_2,3.189217863310539
0,0,1.4800965442152385,SC,DZ,DZ_2,3.189217863310539
1,0.333,0.43272841236832854,SC,DZ,DZ_2,3.189217863310539
0,0,-0.09095565355512647,SC,DZ,DZ_3,3.189217863310539
0,0,-0.7455607359594454,SC,DZ,DZ_3,3.189217863310539
0,0,1.872859593657831,SC,DZ,DZ_3,3.189217863310539
1,0.121,-1.5310868348446283,SC,DZ,DZ_4,3.189217863310539
1,0.114,-0.6146397194785815,SC,DZ,DZ_4,3.189217863310539
0,0,-0.8764817524403092,SC,DZ,DZ_4,3.189217863310539
1,0.189,-0.22187667003599038,SC,DZ,DZ_5,3.189217863310539
1,0.12,-0.7455607359594454,SC,DZ,DZ_5,3.189217863310539
0,0,0.563649428849193,SC,DZ,DZ_5,3.189217863310539
1,0.179,0.43272841236832854,SC,HI,HI_1,5.608828265820026
1,0.08299999999999999,-0.4837187029977176,SC,HI,HI_1,5.608828265820026
1,0.123,-0.7455607359594454,SC,HI,HI_1,5.608828265820026
0,0,0.30180739588746525,SC,HI,HI_2,5.608828265820026
1,0.17700000000000002,0.43272841236832854,SC,HI,HI_2,5.608828265820026
0,0,-0.22187667003599038,SC,HI,HI_2,5.608828265820026
1,0.141,-1.0074027689211726,SC,HI,HI_3,5.608828265820026
1,0.129,0.17088637940660076,SC,HI,HI_3,5.608828265820026
0,0,-1.0074027689211726,SC,HI,HI_3,5.608828265820026
1,0.123,-0.6146397194785815,SC,HI,HI_4,5.608828265820026
1,0.098,-1.6620078513254914,SC,HI,HI_4,5.608828265820026
1,0.061,-1.7929288678063555,SC,HI,HI_4,5.608828265820026
0,0,-0.8764817524403092,SC,HI,HI_5,5.608828265820026
0,0,-1.1383237854020365,SC,HI,HI_5,5.608828265820026
0,0,1.218254511253512,SC,HI,HI_5,5.608828265820026
0,0,-0.22187667003599038,SC,BC,BC_1,5.472930985029703
1,0.198,0.9564124782917841,SC,BC,BC_1,5.472930985029703
1,0.148,-0.09095565355512647,SC,BC,BC_1,5.472930985029703
1,0.225,-0.22187667003599038,SC,BC,BC_2,5.472930985029703
1,0.224,-1.2692448018829003,SC,BC,BC_2,5.472930985029703
